0,1,2,3,4,5,6
Itga4,Klrc1,Lef1,Ly6c1,Sell,Cd3g,Zfp36l1
Cxcr3,Klrd1,Ccr7,Klrd1,Lef1,Cd52,Ikzf2
Klf2,Cd8b1,Tcf7,Il7r,Ccr7,Cd7,Ly6e
Cd8b1,Zeb2,Sell,Lgals3,Ighm,Pdcd1,Ddx5
Slamf6,Klf2,Satb1,Cxcr6,Tcf7,Cxcr6,Izumo1r
Zbtb32,Ly6c1,Foxp1,Cd8b1,Myc,Lag3,Cd40lg
Itgb1,Cx3cr1,Cd4,Hopx,Foxp1,Cd8a,Cd4
Tox,Junb,Il6ra,Id2,Cd8a,Nr4a2,Nfkbia
Batf,Hopx,Pdlim4,Itgb1,Satb1,Cd3e,Tnfrsf4
Hmgb2,Klrk1,Foxo1,Ly6a,Pa2g4,Id2,Tnfrsf18
Pou2f2,Id2,Ighm,Ccr2,Id3,Tox,Il2rg
Ly6a,Lgals3,Cd40lg,Thy1,Trp53,Cxcr3,Foxp3
,Klrg1,Tsc22d3,Cxcr3,Zfp36l1,Cd82,Maf
,Selplg,Stat1,Klrc1,Smad7,Tigit,Itgb7
,Btg2,Cbx4,Il18r1,Chd7,Fasl,Jun
,Cd48,Jun,Klrk1,Gtf2i,Sub1,Cd5
,Tbx21,Klf13,Cd7,Pdlim1,Ccr5,Ighm
,Cxcr6,Ets1,Cd48,Apex1,Nfatc1,Cd6
,Itgb2,Zfp36l1,Cd47,Cd69,Ptprcap,Il2rb
,Il18rap,Sox4,Il2rb,Il6ra,Ikzf3,Ets1
,Zfp36,Pecam1,Itgb7,Top2b,Irf1,Cd82
,Slamf7,Churc1,,Thrap3,Itgal,Cd44
,Cited2,Fus,,Zmynd11,Hmgb2,Maz
,Itga4,Treml2,,Tcof1,,Hmgb2
,Spn,Cd247,,,,Ewsr1
,Fos,S1pr1,,,,Trp53
,Fasl,Myc,,,,Tnfrsf25
,Itgb1,Il4ra,,,,Icos
,Rora,Cd5,,,,Gata3
,Cd8a,Smad7,,,,Nfkb1
,Klf6,Ikzf1,,,,Dtx1
,Ikzf3,Chd7,,,,Churc1
,Sertad1,Aff3,,,,Stat1
,Il18r1,Cbx3,,,,Nrip1
,Klf3,Stat5b,,,,Top2b
,Fosb,Ssbp2,,,,Rbl2
,Adgre5,Elf1,,,,
,Cd226,Cd6,,,,
,,Cd55,,,,
,,Hnrnpd,,,,
,,Cd53,,,,
,,Id3,,,,
,,Rgs14,,,,
,,Itgb7,,,,
,,Top2b,,,,
,,Apex1,,,,
,,Izumo1r,,,,
,,Tbl1x,,,,
,,Cd9,,,,
,,Chd2,,,,
,,Nap1l4,,,,
,,Bcl11b,,,,
,,Hdac2,,,,
,,Itga6,,,,
,,Nfe2l2,,,,
,,Phf14,,,,
,,Khdrbs1,,,,
,,Pdlim1,,,,
,,Ewsr1,,,,
,,Lamp1,,,,
,,Ep400,,,,
,,Zfp292,,,,
,,Tcof1,,,,
,,Ctbp1,,,,
,,Sp3,,,,
,,Irf9,,,,
,,Chd4,,,,
,,Arid4a,,,,
,,Pa2g4,,,,
,,Ldb1,,,,
,,Yy1,,,,
,,Max,,,,
,,Thrap3,,,,
,,Maz,,,,
,,Trp53,,,,
